"ISO","Country.x","Region","Subregion","Econ_Level","Year","GDP_Growth_percent","Rem_Ratio_percent","Trade_GDP_Ratio_percent","Investment_Rate_percent","Savings_Rate_percent","FDI_Ratio_percent","Financial_Development","Econ_Freedom_Index","Administration","Migrant_Stock","Remittance_million","Remittance_per_capita","GDP_Mil","FDI","Population_million"
"ALB","Albania","Europe","East-Central Europe","EM",1981,15.72,NA,8.99,44.377,39.852,NA,0,NA,0.560360313664553,NA,NA,NA,6671,NA,2.726056
"ALB","Albania","Europe","East-Central Europe","EM",1982,9.25,NA,8.39,47.592,41.023,NA,0,NA,0.560170865366442,NA,NA,NA,7288,NA,2.784278
"ALB","Albania","Europe","East-Central Europe","EM",1983,5.06,NA,6.61,50.658,44.479,NA,0,NA,0.559493812262871,NA,NA,NA,7657,NA,2.84396
"ALB","Albania","Europe","East-Central Europe","EM",1984,5.68,NA,5.69,52.943,46.845,NA,0,NA,0.556459215242994,NA,NA,NA,8092,NA,2.904429
"ALB","Albania","Europe","East-Central Europe","EM",1985,1.62,NA,5.59,46.186,40.83,NA,0,NA,0.526746165158979,NA,NA,NA,8223,NA,2.964762
"ALB","Albania","Europe","East-Central Europe","EM",1986,7.72,NA,6.22,44.293,40.314,NA,0,NA,0.535634448329369,NA,NA,NA,8858,NA,3.022635
"ALB","Albania","Europe","East-Central Europe","EM",1987,1.65,NA,5.34,46.325,42.435,NA,0,NA,0.535300624479351,NA,NA,NA,9004,NA,3.083605
"ALB","Albania","Europe","East-Central Europe","EM",1988,2.08,NA,6.42,45.102,40.026,NA,0,NA,0.534169881181354,NA,NA,NA,9191,NA,3.142336
"ALB","Albania","Europe","East-Central Europe","EM",1989,14.11,NA,6.62,44.823,38.061,NA,0,NA,0.524672512299617,NA,NA,NA,10488,NA,3.227943
"ALB","Albania","Europe","East-Central Europe","EM",1990,-6.64,NA,6.46,49.84,41.016,NA,0,4.66,0.503143240352249,0.1802,NA,NA,9792,NA,3.286542
"ALB","Albania","Europe","East-Central Europe","EM",1991,-25.56,NA,7.62,9.509,-8.026,NA,0,NA,0.450712462588347,NA,NA,NA,7289,NA,3.26679
"ALB","Albania","Europe","East-Central Europe","EM",1992,-5.09,2.19,9.79,7.438,9.426,0.29,0.13,NA,0.435066406739103,NA,151.8,46.75,6918,-20,3.247039
