"ISO","Country.x","Region","Subregion","Econ_Level","Year","GDP_Growth_percent","Rem_Ratio_percent","Trade_GDP_Ratio_percent","Investment_Rate_percent","Savings_Rate_percent","FDI_Ratio_percent","Financial_Development","Econ_Freedom_Index","Administration","Migrant_Stock","Remittance_million","Remittance_per_capita","GDP_Mil","FDI","Population_million"
"ARG","Argentina","Western Hemisphere","South America","EM",1981,3.17,0.02,10.77,18.197,18.216,0.53,0.19,NA,0.369317115962688,NA,42,1.48,178194,-944,28.338514
"ARG","Argentina","Western Hemisphere","South America","EM",1982,2.84,0.02,7.56,17.618,17.345,0.14,0.22,NA,0.368949808319628,NA,28,0.97,183246,-257,28.79455
"ARG","Argentina","Western Hemisphere","South America","EM",1983,7.8,0.01,7.15,16.797,16.96,0.09,0.18,NA,0.500973616523165,NA,28,0.96,197532,-183,29.262049
"ARG","Argentina","Western Hemisphere","South America","EM",1984,5.68,0.02,6.77,15.94,16.305,0.13,0.19,NA,0.605666640706745,NA,32,1.08,208754,-268,29.737097
"ARG","Argentina","Western Hemisphere","South America","EM",1985,-4.01,0.01,6.75,13.95,17.241,0.46,0.18,3.4,0.612161741210636,NA,27,0.89,200386,-919,30.216284
"ARG","Argentina","Western Hemisphere","South America","EM",1986,9.3,0.01,6.03,13.977,16.215,0.26,0.16,NA,0.612846210607133,NA,32,1.04,219028,-574,30.698964
"ARG","Argentina","Western Hemisphere","South America","EM",1987,5.06,0.01,6.13,15.698,14.533,-0.01,0.16,NA,0.619385663168791,NA,34,1.09,230120,19,31.184411
"ARG","Argentina","Western Hemisphere","South America","EM",1988,1.5,NA,6.85,15.063,15.567,0.49,0.3,NA,0.618688738251132,NA,NA,NA,233574,-1147,31.668939
"ARG","Argentina","Western Hemisphere","South America","EM",1989,-3.36,NA,7.24,12.465,15.071,0.46,0.21,NA,0.611220249422377,NA,NA,NA,225724,-1028,32.148137
"ARG","Argentina","Western Hemisphere","South America","EM",1990,2.36,NA,7.97,11.354,15.472,0.79,0.23,4.39,0.513707896223109,0.4302,NA,NA,231040,-1836,32.618648
"ARG","Argentina","Western Hemisphere","South America","EM",1991,14.24,NA,8.68,11.895,12.889,0.92,0.23,NA,0.512130992435531,NA,NA,NA,263929,-2439,33.079002
"ARG","Argentina","Western Hemisphere","South America","EM",1992,12.81,0.01,9.13,13.431,12.41,1.1,0.35,NA,0.511585725702529,NA,15.4,0.46,297746,-3265.063223,33.52932
"ARG","Argentina","Western Hemisphere","South America","EM",1993,8.77,0.02,9.27,17.301,13.999,0.64,0.37,NA,0.508445520489565,NA,57.7,1.7,323854,-2088.01541,33.970103
"ARG","Argentina","Western Hemisphere","South America","EM",1994,8.09,0.02,10.45,17.509,13.989,0.75,0.39,NA,0.507776822112717,NA,62.4,1.81,350052,-2622.087878,34.402669
"ARG","Argentina","Western Hemisphere","South America","EM",1995,-0.81,0.02,11.64,16.399,17.662,1.18,0.37,6.94,0.509848116536727,0.482,63.6,1.83,347223,-4112.274404,34.828168
"ARG","Argentina","Western Hemisphere","South America","EM",1996,7.46,0.02,12.77,17.403,15.051,1.43,0.37,NA,0.508271390605364,NA,65,1.84,373122,-5347.787687,35.246376
"ARG","Argentina","Western Hemisphere","South America","EM",1997,9.98,0.02,13.46,18.415,14.662,1.34,0.37,NA,0.503900727896964,NA,65.7,1.84,410342,-5507.454052,35.657438
"ARG","Argentina","Western Hemisphere","South America","EM",1998,5.02,0.02,12.91,18.551,14.17,1.15,0.36,NA,0.510513418943745,NA,68.5,1.9,430938,-4965.180132,36.063451
"ARG","Argentina","Western Hemisphere","South America","EM",1999,-1.99,0.02,11.24,15.557,11.742,5.27,0.28,NA,0.50752553189702,NA,64.3,1.76,422360,-22257.41339,36.467218
"ARG","Argentina","Western Hemisphere","South America","EM",2000,1.43,0.02,11.52,15.337,12.459,2.22,0.29,7.25,0.550328401048769,0.5555,86.34,2.34,428394,-9517.28614,36.870796
"ARG","Argentina","Western Hemisphere","South America","EM",2001,-2.31,0.05,11.01,13.64,12.325,0.48,0.28,6.84,0.54464966658364,NA,189.6,5.09,418488,-2005.260142,37.275644
"ARG","Argentina","Western Hemisphere","South America","EM",2002,-9.48,0.05,9.33,9.965,17.631,0.73,0.26,6.33,0.540655245362249,NA,206.63,5.48,378796,-2776.05,37.681743
"ARG","Argentina","Western Hemisphere","South America","EM",2003,10.98,0.07,10.77,12.877,18.474,0.21,0.26,6.24,0.522839127534919,NA,273.42,7.18,420382,-878.23,38.087866
"ARG","Argentina","Western Hemisphere","South America","EM",2004,11.84,0.07,12.48,17.551,19.35,0.73,0.28,6.34,0.5275964630479,NA,311.78,8.1,470169,-3448.72,38.49197
"ARG","Argentina","Western Hemisphere","South America","EM",2005,12.24,0.08,13.17,18.888,21.362,0.75,0.31,6.08,0.524833812734123,0.8053,432.09,11.11,527728,-3954.19,38.892924
"ARG","Argentina","Western Hemisphere","South America","EM",2006,11.32,0.09,13.64,18.68,21.471,0.53,0.33,6.13,0.527934372782368,NA,540.7,13.76,587451,-3098.627066,39.289876
"ARG","Argentina","Western Hemisphere","South America","EM",2007,11.94,0.09,15.65,20.099,22.199,0.76,0.33,6.31,0.522046103022272,NA,606.5,15.28,657570,-4968.924801,39.684303
"ARG","Argentina","Western Hemisphere","South America","EM",2008,6.08,0.1,18.52,19.573,21.065,1.19,0.33,6.22,0.521786705645261,NA,705.14,17.59,697557,-8334.618541,40.080159
"ARG","Argentina","Western Hemisphere","South America","EM",2009,-5.2,0.1,14.49,16.053,18.22,0.5,0.31,6.02,0.523210157514193,NA,628.54,15.53,661276,-3305.612521,40.482786
"ARG","Argentina","Western Hemisphere","South America","EM",2010,11.41,0.09,16.96,17.706,17.323,1.41,0.27,5.82,0.521067769026363,0.9386,644.3,15.8,736718,-10367.95795,40.788453
"ARG","Argentina","Western Hemisphere","South America","EM",2011,8.22,0.09,19.17,18.398,17.386,1.17,0.28,5.85,0.521999342719633,NA,697.38,16.9,797264,-9351.930945,41.26149
