ISO,Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AFG,Afghanistan,,,,,,,,,,,,,,,,,,,,,,,7.81%,11.38%,11.65%,15.21%,16.79%,16.41%,18.94%,17.31%,20.35%,25.01%,17.34%,14.52%,13.55%,12.35%,11.85%,11.40%,11.77%,11.85%,11.67%
ALB,Albania,10.53%,8.99%,8.39%,6.61%,5.69%,5.59%,6.22%,5.34%,6.42%,6.62%,6.46%,7.62%,9.79%,10.27%,9.89%,11.97%,14.01%,10.43%,10.04%,10.11%,10.38%,10.54%,10.82%,12.70%,14.61%,14.50%,15.44%,19.41%,22.14%,18.82%,19.52%,21.67%,20.80%,22.15%,22.21%,18.19%,18.91%,19.88%,21.44%,20.47%,19.77%
DZA,Algeria,26.54%,24.96%,20.65%,18.28%,16.56%,14.47%,10.55%,10.30%,10.38%,10.62%,12.82%,11.63%,10.21%,9.68%,9.69%,10.26%,10.00%,10.53%,8.85%,9.06%,12.19%,11.81%,11.46%,12.89%,15.65%,18.40%,20.70%,22.02%,28.57%,18.72%,20.70%,23.60%,24.58%,23.78%,23.19%,17.64%,16.57%,16.81%,18.30%,15.47%,11.92%
AGO,Angola,25.45%,26.00%,19.06%,20.33%,21.13%,24.10%,16.63%,20.56%,21.32%,22.91%,29.02%,22.62%,24.23%,15.22%,13.62%,14.56%,16.20%,15.22%,11.90%,13.47%,19.03%,17.45%,16.66%,19.93%,25.86%,33.03%,40.65%,44.59%,62.90%,40.61%,45.38%,52.24%,51.87%,48.20%,42.71%,27.57%,19.51%,21.55%,24.63%,21.14%,14.65%
ATG,Antigua and Barbuda,13.58%,8.78%,12.58%,10.21%,10.50%,12.40%,15.36%,17.17%,29.91%,31.16%,25.43%,27.03%,22.92%,20.72%,39.50%,35.68%,36.99%,34.83%,37.05%,65.51%,131.34%,69.82%,109.01%,75.87%,54.41%,72.46%,76.94%,96.19%,104.58%,86.84%,114.95%,123.02%,127.97%,115.88%,113.97%,110.28%,69.88%,71.14%,73.57%,71.35%,63.50%
ARG,Argentina,10.18%,10.77%,7.56%,7.15%,6.77%,6.75%,6.03%,6.13%,6.85%,7.24%,7.97%,8.68%,9.13%,9.27%,10.45%,11.64%,12.77%,13.46%,12.91%,11.24%,11.52%,11.01%,9.33%,10.77%,12.48%,13.17%,13.64%,15.65%,18.52%,14.49%,16.96%,19.17%,18.00%,17.71%,15.76%,13.47%,12.68%,12.04%,12.01%,11.04%,10.96%
ARM,Armenia,,,,,,,,,,,,,1.21%,7.37%,11.67%,13.18%,12.29%,11.74%,9.82%,7.94%,9.85%,8.86%,10.84%,11.79%,12.86%,14.56%,13.45%,15.57%,15.64%,12.28%,14.24%,15.77%,15.92%,16.20%,16.67%,13.85%,13.60%,14.67%,16.12%,16.74%,16.42%
ABW,Aruba,,,,,,,0.30%,0.08%,7.63%,16.14%,23.65%,34.36%,45.65%,53.50%,48.93%,49.23%,66.53%,69.74%,55.80%,55.12%,85.28%,60.88%,63.41%,89.69%,149.39%,195.06%,197.55%,192.15%,236.35%,111.11%,48.82%,228.42%,138.46%,116.54%,124.99%,80.47%,53.87%,54.70%,38.75%,36.27%,37.73%
AUS,Australia,27.28%,26.81%,25.28%,22.05%,22.61%,21.43%,20.45%,21.24%,24.17%,25.65%,24.65%,24.08%,24.06%,22.83%,24.73%,26.27%,27.09%,26.39%,23.42%,22.67%,23.77%,21.88%,22.01%,23.90%,27.84%,30.77%,33.31%,36.28%,43.94%,35.26%,42.92%,50.79%,50.53%,44.25%,42.02%,35.35%,32.72%,37.06%,37.70%,36.48%,34.27%
AUT,Austria,45.50%,39.96%,34.88%,33.18%,32.20%,32.94%,40.68%,47.64%,52.33%,50.80%,56.92%,54.97%,56.33%,51.22%,53.24%,57.04%,55.67%,52.37%,53.53%,52.19%,50.72%,50.11%,52.56%,63.06%,73.10%,74.51%,80.93%,90.30%,96.37%,77.24%,84.73%,95.04%,85.75%,85.66%,84.66%,71.41%,67.01%,71.24%,74.87%,70.57%,69.22%
AZE,Azerbaijan,,,,,,,,,,,,,1.38%,4.82%,8.22%,8.23%,10.20%,10.59%,8.54%,7.16%,9.22%,8.72%,9.70%,11.88%,15.56%,16.20%,20.44%,22.31%,30.95%,20.70%,24.25%,33.05%,29.26%,28.78%,26.34%,20.17%,14.91%,18.97%,21.85%,20.37%,15.84%
BHS,The Bahamas,192.35%,149.62%,101.63%,103.75%,102.58%,84.81%,59.00%,53.47%,48.74%,54.19%,60.82%,56.95%,73.78%,73.59%,54.10%,44.17%,64.52%,44.99%,43.28%,47.84%,56.97%,48.26%,74.43%,73.02%,70.40%,105.45%,111.16%,113.52%,137.85%,118.51%,129.23%,132.98%,121.47%,115.75%,128.95%,99.55%,71.67%,77.29%,78.79%,81.27%,52.48%
BHR,Bahrain,75.69%,84.17%,62.48%,45.31%,39.17%,34.56%,29.08%,32.74%,29.54%,34.01%,38.59%,35.86%,34.32%,31.86%,30.89%,29.95%,31.66%,30.58%,26.48%,23.89%,32.97%,30.30%,29.06%,32.49%,35.93%,42.29%,45.59%,44.69%,57.88%,34.44%,43.41%,52.11%,55.25%,50.66%,51.46%,40.20%,33.93%,36.78%,44.95%,42.79%,36.53%
BGD,Bangladesh,7.24%,5.87%,5.30%,4.52%,5.51%,5.11%,4.87%,5.53%,5.47%,5.77%,5.79%,5.18%,5.60%,5.67%,6.41%,7.81%,7.50%,7.62%,7.44%,7.00%,7.91%,7.49%,6.90%,7.57%,8.40%,8.44%,9.26%,9.36%,10.67%,9.76%,11.91%,13.93%,12.38%,12.86%,13.25%,12.65%,12.03%,12.19%,12.41%,11.47%,9.91%
BRB,Barbados,41.60%,42.84%,41.85%,45.34%,47.10%,37.55%,30.29%,26.09%,26.40%,27.55%,27.60%,27.01%,22.08%,24.20%,24.14%,31.60%,40.55%,40.22%,33.87%,34.90%,32.64%,37.59%,35.50%,37.68%,39.84%,46.61%,41.22%,38.88%,48.36%,33.87%,46.68%,56.72%,40.25%,52.72%,51.44%,41.90%,36.81%,43.04%,41.93%,36.35%,43.82%
BLR,Belarus,,,,,,,,,,,,,1.57%,5.16%,20.41%,25.95%,26.58%,31.79%,27.39%,21.01%,23.85%,7.27%,22.40%,26.74%,11.69%,27.06%,20.95%,39.86%,47.04%,14.48%,16.53%,31.66%,41.32%,35.31%,33.89%,25.87%,24.93%,29.53%,32.41%,31.24%,29.01%
BEL,Belgium,,,,,,,,,,,,,,,,,,31.90%,32.38%,109.18%,109.25%,105.40%,112.92%,131.72%,150.17%,157.93%,168.09%,184.46%,202.93%,157.53%,168.42%,191.96%,174.81%,173.43%,170.50%,139.24%,130.48%,133.76%,141.66%,130.88%,126.71%
BLZ,Belize,119.03%,102.99%,96.29%,64.17%,73.15%,64.31%,61.76%,57.45%,73.81%,66.38%,55.93%,48.85%,48.22%,47.14%,47.32%,52.80%,58.76%,58.14%,53.50%,59.91%,55.31%,48.01%,41.35%,45.60%,42.82%,51.57%,47.27%,50.46%,58.76%,45.78%,47.02%,59.74%,77.83%,72.30%,64.70%,55.39%,54.98%,58.27%,54.56%,48.10%,49.98%
BEN,Benin,17.16%,18.77%,20.03%,10.67%,9.37%,11.43%,11.04%,10.83%,10.08%,7.18%,8.22%,8.82%,9.68%,10.65%,8.66%,12.02%,12.35%,12.53%,11.93%,11.82%,12.83%,14.47%,13.36%,14.96%,15.60%,19.43%,23.65%,29.58%,37.31%,31.34%,38.81%,55.55%,36.85%,38.59%,39.64%,27.67%,20.29%,22.10%,20.02%,17.52%,13.31%
BTN,Bhutan,,,,,,,,0.00%,3.80%,0.80%,11.43%,15.93%,5.07%,3.26%,3.07%,4.76%,3.67%,4.35%,2.94%,3.57%,3.67%,3.84%,5.19%,8.30%,13.46%,10.76%,11.37%,12.62%,10.27%,8.65%,11.23%,11.94%,10.35%,10.10%,9.96%,13.46%,10.41%,9.35%,13.33%,12.36%,11.20%
BOL,Bolivia,16.21%,15.86%,10.70%,10.62%,11.41%,9.58%,9.75%,9.89%,8.97%,8.95%,10.88%,9.68%,10.35%,10.02%,10.64%,14.75%,12.19%,13.61%,13.58%,9.76%,8.61%,8.17%,8.34%,9.64%,11.52%,13.39%,15.89%,17.41%,23.24%,17.37%,21.33%,26.24%,28.51%,27.74%,27.91%,20.70%,17.53%,16.58%,15.85%,14.90%,13.20%
