"ISO","Country.x","Region","Subregion","Econ_Level","Year","GDP_Growth_percent","Rem_Ratio_percent","Trade_GDP_Ratio_percent","Investment_Rate_percent","Savings_Rate_percent","FDI_Ratio_percent","Financial_Development","Econ_Freedom_Index","Administration","Migrant_Stock","Remittance_million","Remittance_per_capita","GDP_Mil","FDI","Population_million"
"AGO","Angola","Africa","Southern Africa","EM",1981,4.64,NA,26,17.288,15.105,NA,0,NA,0.365020947445981,NA,NA,NA,11408,NA,8.640478
"AGO","Angola","Africa","Southern Africa","EM",1982,6.18,NA,19.06,19.613,12.419,NA,0,NA,0.356816676124831,NA,NA,NA,12113,NA,8.952971
"AGO","Angola","Africa","Southern Africa","EM",1983,8.28,NA,20.33,16.279,11.463,NA,0,NA,0.352772515610818,NA,NA,NA,13116,NA,9.278104
"AGO","Angola","Africa","Southern Africa","EM",1984,9.83,NA,21.13,16.234,14.437,NA,0,NA,0.364036314598495,NA,NA,NA,14405,NA,9.614756
"AGO","Angola","Africa","Southern Africa","EM",1985,6.78,NA,24.1,12.426,11.788,1.81,0,NA,0.367242027204434,NA,NA,NA,15381,-278,9.961993
"AGO","Angola","Africa","Southern Africa","EM",1986,4.97,NA,16.63,12.475,5.41,1.45,0,NA,0.368124155974554,NA,NA,NA,16146,-234,10.320116
"AGO","Angola","Africa","Southern Africa","EM",1987,6.65,NA,20.56,12.37,14.15,0.69,0,NA,0.364201364900689,NA,NA,NA,17220,-119,10.689247
"AGO","Angola","Africa","Southern Africa","EM",1988,9.87,NA,21.32,9.638,2.68,0.69,0,NA,0.33372682400998,NA,NA,NA,18920,-131,11.068051
"AGO","Angola","Africa","Southern Africa","EM",1989,3.96,NA,22.91,9.588,9.089,1.02,0,NA,0.334452443447354,NA,NA,NA,19670,-200,11.454784
"AGO","Angola","Africa","Southern Africa","EM",1990,0.16,NA,29.02,5.725,32.396,-1.7,0,NA,0.341762363230996,0.8249,NA,NA,19702,335.7,11.848385
"AGO","Angola","Africa","Southern Africa","EM",1991,15.88,NA,22.62,12.492,37.694,2.91,0,NA,0.350798641883155,NA,NA,NA,22830,-664.5,12.248901
"AGO","Angola","Africa","Southern Africa","EM",1992,13.94,NA,24.23,21.071,42.412,1.11,0,NA,0.294888820618698,NA,NA,NA,26013,-287.956,12.657361
"AGO","Angola","Africa","Southern Africa","EM",1993,13.6,NA,15.22,21.619,45.441,1.02,0,NA,0.288354996469719,NA,NA,NA,29550,-302.1,13.075044
