Country,ISO,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,-47.95177613,-55.86013547,-192.0224795,-51.03628361,-65.68451134,-47.77402701,-42.99441621,-166.9835549,-79.58526875,-40.273161,-80.63140407,2.916492929,24.25833011
Albania,ALB,,,,,,,,,,,,-20,-58,-53,-70,-90.1,-47.5,-45.01,-41.2,-143,-207.3,-135,-178.0364007,-327.6812102,-258.4174887,-314.6383168,-647.3652838,-881.2441751,-950.7613876,-1043.511678,-846.6166816,-834.8030231,-1225.674342,-1074.29419,-910.256726,-1037.328978,-1128.922245,-1208.920406,-1161.045288,-1016.610831
Algeria,DZA,1.390237828,64.89276182,14.19979954,13.84603808,1.988941485,-10.63305676,11.34081025,-8.115282091,-3.942928303,4.353889335,38.65126571,,,,,,,,,,,,,,-1101,-1762,-1539.745128,-2320.754664,-2532.507565,-2081.136054,-2037.319358,-1541.844615,-1963.63505,-1520.777119,638.9152153,-1591.723072,-1238.809876,-585.8399509,-1298.467328,
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,,,,,-278,-234,-119,-131,-200,335.7,-664.5,-287.956,-302.1,-170.3,-472.427,-180.559,-411.66,-1113.97,-2471.46,-878.62,-2145.47,-1643.393,-3481.07178,-1413.99182,1523.198987,228.2999459,1805.123607,890.6729639,-2198.545055,4567.640566,5116.413414,2351.103731,8041.583617,-2770.722211,-10813.08538,452.5226189,8749.300466,6461.790581,1749.052912,1956.982582
Antigua and Barbuda,ATG,-22.4,-23,-5,-4.4,-15.6,-22.6,-38.5962963,-32.95185185,-43.10740741,-60.60740741,-54.79259259,-19.64814815,-15.24074074,-24.78888889,-31.48518519,-19.35185185,-22.94444444,-22.77407407,-51.79253333,-43.11592593,-98.45222222,-65.86506481,-166.3211437,-80.36658519,-220.9633741,-358.8201637,-338.2047333,-158.7837744,-80.64665259,-96.67920778,-65.1605963,-129.3671389,-134.2889996,-39.93099838,-99.94913134,-59.44939419,-159.2737058,-165.042505,,
Argentina,ARG,-944,-257,-183,-268,-919,-574,19,-1147,-1028,-1836,-2439,-3265.063223,-2088.01541,-2622.087878,-4112.274404,-5347.787687,-5507.454052,-4965.180132,-22257.41339,-9517.28614,-2005.260142,-2776.05,-878.23,-3448.72,-3954.19,-3098.627066,-4968.924801,-8334.618541,-3305.612521,-10367.95795,-9351.930945,-14269.08434,-8931.688999,-3144.794109,-10883.76078,-1473.633407,-10361.23124,-10070.636,-5123.845949,-2888.722899
Armenia,ARM,,,,,,,,,,,,,-0.8,-8,-25.32,-17.57,-51.94,-220.829,-122.034,-104.1885,-69.8685,-110.7237938,-122.243975,-247.2648601,-286.6841718,-443.9049256,-658.779848,-913.2265985,-707.8003299,-501.862329,-434.1382224,-473.2107321,-315.8295243,-377.774324,-155.376062,-263.2139317,-221.8782863,-247.1336577,-396.6326181,-144.575322
Aruba,ABW,,,,,,,,,,-130.5027933,-184.7486034,36.98324022,17.93296089,73.18435754,5.530726257,-84.13407821,-197.5977654,-82.17877095,-469.3296089,130.5586592,263.2402235,-338.6592179,-163.0167598,97.54189944,198.9344711,-233.1388045,510.5586592,-16.08938547,12.12290503,-184.0223464,-485.027933,317.4860335,-221.9515743,-241.7537693,39.29064413,-27.97001674,-79.28292203,-105.5506857,134.984404,-123.8856391
Australia,AUS,,,,,,,,,-5000.323944,-7824.698719,-3782.555746,-1106.562011,-2767.98426,-2630.684042,-9222.498129,441.6547914,-2007.441432,-2932.190621,-1898.24931,-10797.9587,2663.165109,-7681.971735,9612.586773,-33123.39059,-7620.252751,-6470.053661,-30020.09409,-13272.11722,-17218.51263,-17142.06831,-57304.2512,-51785.73922,-54767.99455,-40630.4591,-38633.22121,-46077.39096,-38686.71571,-60526.75284,-30038.22169,-10566.86139
Austria,AUT,,,,,,,,,,,,,,,,,,,,,,,,,193.3388462,5587.390966,10174.11882,21601.88027,1258.109966,7679.700298,15161.34182,13225.67775,10579.89254,-2587.541536,5836.278366,2023.53804,-3410.590995,1971.094102,7410.325506,12238.32593
Azerbaijan,AZE,,,,,,,,,,,,,,,-330.05,-627.277,-1114.834,-1022.947,-510.317,-129.177,-226.513,-1066.821,-2351.747,-2351.283,-459.151,1289.475,5034.521,540.824,-147.181,-331.155,-932.582,-812.407,-1141.55,-2443.393,-838.252,-1926.065,-303.1063519,357.879,927.801,318.1262
"Bahamas, The",BHS,-34.4,-2.8,6,4.9,30.2,13.2,-10.8,-36.7,-25,17.2,,,-27,-23.5,-106.7,-88.1,-209.6,-145.9,-149.1,-250.25,-102.37,-152.79,-190.2,-273.6,-563.4147,-706.38,-713.35,-860.156197,-663.96,-871.97,-666.621,-526.171,-382.252,-251.2774288,-76.07592475,-390.4000364,-304.5875731,-491.4046892,-264.5962517,-359.3177
Bahrain,BHR,,-28.45744688,-64.09574485,-140.6914895,-101.3297872,31.91489362,35.90425532,-222.0744681,-180.8510638,207.712766,-569.4148936,-815.6914894,313.8297963,-9.574468976,-446.6625906,-1743.32978,-281.6386172,1.369868848,-290.3863971,-354.0096136,135.5967885,-26.95670594,224.6543266,170.3301792,86.77103428,-1934.606677,-87.16357861,-173.5196311,-2048.638923,178.271544,112.7659574,-1028.723404,-3196.06383,-1913.031915,3126.06383,-1123.404255,-289.893617,1403.989362,,
Bangladesh,BGD,,,-0.403978558,0.553269398,,-2.436499344,-3.205086762,-1.838242499,-0.247908274,-3.238781189,-1.390444322,-3.721853382,-14.04988652,-11.14778833,-1.896372127,-13.52983154,-136.3105341,-187.0572125,-179.6030063,-280.3846297,-78.52704008,-49.66244399,-265.5074141,-444.836578,-811.3820561,-452.9283481,-516.7662325,-1137.762261,-720.4573536,-1165.816161,-967.2907735,-1295.34453,-2056.085293,-2497.421016,-2771.250741,-2292.208318,-1683.653529,-2402.416194,-1884.983625,-1133.06447
Barbados,BRB,-36.1,-34.65,-14.75,-34.5,-2.6,-5,-4.65,-25.02940931,-5.73296392,-9.813282795,-6.12492125,-13.6,-6.80211387,-11.85,-60.50375015,-12.28648406,-27.00349905,-28.21048223,-46.23950512,-50.86444391,-65.92241094,-203.3667538,-159.6687886,-174.7722157,-233.1844078,-297.8195845,-394.1658153,-541.6906376,-228.1778629,-101.2102282,100.6590858,-488.1407956,-77.79329294,-821.2826785,-366.3289377,-463.0256542,,,,
Belarus,BLR,,,,,,,,,,,,,-17.6,-10.5,-14.7,-104.5,-349.5,-200.9,-443.2,-118.6,-95.5,-453.3,-170.3,-162.5,-304.1,-354.1,-1792.1,-2157.3,-1774.2,-1342.8,-3876.9,-1308.1,-1983.9,-1788.6,-1545.7,-1124,-1208.5,-1371.3,-1277.1,-1314.6
Belgium,BEL,,,,,,,,,,,,,,,,,,,,,,-9199.049496,4506.779201,-9750.819018,-1123.653953,-8690.515457,-13093.60422,32864.04419,-44015.0519,-58665.00747,-34518.42585,29684.33802,17271.77874,14787.64097,26844.37744,-22983.19827,31988.68537,9073.1726,-1017.737778,1189.809089
Belize,BLZ,,,,3.7,-3.7,-4.6,-6.85,-14,-18.65,-17.2,-13.6,-15.6,-9.2,-15.3695,-21.05,-10.915,-8.055,-13.15,-53.579,-23.34076243,-61.16297287,-25.38671966,11.28278819,-111.4319224,-125.9274758,-108.2569022,-139.3878193,-166.9107001,-108.378836,-95.32879977,-94.71550795,-193.3256823,-91.5632063,-138.3624165,-58.64934013,-31.01460131,-31.57443673,-121.3232744,-91.79168473,-71.77462167
Benin,BEN,-2.060858229,0.541681719,0.532716067,0.462288405,,,,,-62.09619007,-62.37677714,-120.7808066,-77.5717266,-1.403787184,-13.6488399,-13.32950212,-13.59586934,-13.87600649,-32.7484395,-37.83429457,-56.2933694,-41.58942646,-12.21542228,-44.5164935,-65.27122622,-53.45007684,-54.97816078,-261.6823579,-174.5313739,-103.514099,-194.9072723,-101.5746835,-241.2152993,-301.7537832,-388.4590433,-117.056378,-114.4096483,-168.9953317,-184.3031645,-191.0583574,
Bermuda,BMU,,,,,,,,,,,,,,,,,,,,,,,,,,200.07,-512.2999981,151.3629719,81.72415504,-236.6110078,-78.84472136,192.8134715,-4.328580312,123.1437454,58.62786443,168.5576387,246.5476693,-130.4446738,-42.1613895,
Bhutan,BTN,,,,,,,,,,,,,,,,,,,,,,,,,,-6.122702143,-73.85576976,-3.144001019,-18.29970723,-75.27400903,-31.14161486,-24.38067357,-20.43363107,-23.53493175,-6.45095385,-11.88416235,16.55375995,-2.649454311,-13.01137729,2.78696089
Bolivia,BOL,-75.6,-31,-6.9,-7,-10,-10,-36.4,12,25.4,-26.1,-50,-91.1,-121.8,-128,-390.7,-472,-728.2,-946.5,-1007.7,-733.55,-703.176,-673.943,-194.62,-62.63,241.62,-277.763457,-363.2942415,-509.3356052,-420.04,-650.8033505,-858.6663037,-1059.965391,-1749.612614,-689.679406,-556.4302431,-246.4994899,-632.781025,-386.8340852,264.9511558,946.2464111
Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,-66.73646836,-176.7805948,-146.0756109,-118.4952198,-267.769569,-381.7846374,-708.3123027,-607.3739154,-764.1319625,-1777.373275,-965.4050308,-231.9986115,-362.6603819,-476.4365017,-332.3763674,-227.0329075,-534.904936,-288.3558044,-309.3064452,-408.6656694,-601.7829306,-399.8603695,-373.906291
