ISO,Country,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AFG,Afghanistan,,,,,,,,,,,,,,,,,,,,,,19677,21784,22521,25969,28190,32808,34739,42209,46304,50334,59945,63784,69444,72056,70098,74712,77416,81880,78729
ALB,Albania,6671,7288,7657,8092,8223,8858,9004,9191,10488,9792,7289,6918,7762,8673,9643,10713,9707,10683,12235,13377,14804,15721,16898,18310,19923,21738,23658,25927,27000,28328,29655,30530,30604,32529,33595,34736,37609,40080,41709,40737
DZA,Algeria,101295,114438,125341,137136,149396,152099,154770,157184,171187,179014,182848,190008,190420,192735,204348,215997,222139,236096,247169,262297,276091,296164,323384,346370,378230,396241,420610,438910,449475,471156,494947,497330,497988,506135,477358,471382,485802,503436,516522,491459
AGO,Angola,11408,12113,13116,14405,15381,16146,17220,18920,19670,19702,22830,26013,29550,33353,37582,42559,46442,49168,50966,53697,57183,66026,69263,78918,93606,107575,125941,142727,145050,153871,162539,186124,199866,220365,204604,204875,217987,218757,221326,215105
ATG,Antigua and Barbuda,311,330,362,413,458,521,569,620,678,725,766,792,854,930,909,986,1058,1121,1179,1286,1249,1282,1385,1504,1650,1916,2150,2191,1941,1814,1816,1772,1720,1762,1770,1883,1893,2073,2181,1826
ARG,Argentina,178194,183246,197532,208754,200386,219028,230120,233574,225724,231040,263929,297746,323854,350052,347223,373122,410342,430938,422360,428394,418488,378796,420382,470169,527728,587451,657570,697557,661276,736718,797264,819698,849616,839897,867177,885228,1039330,1036980,1033460,941848
ARM,Armenia,,,,,,,,,,,,5611,4937,5315,5862,6278,6603,7096,7426,8037,8990,10485,12180,13818,16260,18963,22149,24149,20890,21598,23086,27009,28500,29231,29167,31429,35677,38442,42095,39380
ABW,Aruba,,,,,,816,971,1193,1390,1499,1673,1812,1990,2200,2302,2374,2584,2662,2737,3011,2986,2934,3047,3377,3525,3670,3845,3926,3507,3430,3624,3552,3799,3817,3893,3941,4098,4247,4340,3274
AUS,Australia,177226,188295,194742,214574,233439,243968,262234,283028,307726,324040,331646,347892,370024,396443,416242,441501,469628,497279,526943,555014,582009,615673,644540,689181,732152,774721,830752,869521,892594,924310,970480,983744,1083480,1111530,1113050,1174070,1232430,1297910,1346780,1329880
AUT,Austria,92676,100279,107129,111363,117463,122632,127777,133554,144185,156081,166914,174292,179361,187591,196635,205037,212940,223049,234317,247641,256279,264633,272085,287052,302635,322563,343575,355373,344602,355022,373031,391635,406370,417060,431092,460236,479433,503611,519875,491500
