ISO,Migrant remittance inflows (US$ million),1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AFG,Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.50,140.70,378.21,179.12,219.42,347.17,253.37,348.62,627.71,822.73,803.55,828.57,788.92
ALB,Albania,,,,,,,,,,,,151.80,332.00,307.10,427.30,550.90,300.30,504.14,407.20,597.80,699.30,733.57,888.75,1160.67,1289.70,1359.47,1468.02,1865.60,1717.70,1586.57,1552.08,1419.77,1281.85,1421.01,1290.86,1306.01,1311.82,1458.21,1472.81,1466.00
DZA,Algeria,447.00,507.00,392.00,329.00,313.00,358.00,487.00,379.00,345.00,352.44,232.99,,,,,,,,,,,,,,170.00,189.00,99.00,103.63,150.34,196.60,202.87,214.84,209.60,2452.44,1997.39,1989.02,1791.89,1985.00,1785.84,1682.30
AGO,Angola,,,,,,,,,,,,,,,,5.14,,,,,,,,,,,,82.08,0.20,17.97,0.20,40.35,36.64,30.97,11.11,3.99,1.42,1.58,3.45,8.05
ATG,Antigua and Barbuda,,,,,,11.19,11.74,12.34,13.20,9.40,,,7.93,8.61,,8.94,9.54,18.76,18.39,17.34,23.68,14.24,16.37,17.60,18.31,19.33,20.78,21.83,20.66,20.20,20.29,20.86,21.13,32.10,31.24,26.71,24.02,24.71,24.71,24.71
ARG,Argentina,42.00,28.00,28.00,32.00,27.00,32.00,34.00,,,,,15.40,57.70,62.40,63.60,65.00,65.70,68.50,64.30,86.34,189.60,206.63,273.42,311.78,432.09,540.70,606.50,705.14,628.54,644.30,697.38,577.53,535.00,505.35,494.43,391.58,479.94,506.54,528.29,632.31
ARM,Armenia,,,,,,,,,,,,,0.20,11.12,71.35,153.73,228.99,166.65,182.65,182.16,209.24,263.89,335.86,787.52,915.23,1169.17,1644.38,1904.07,1439.81,1669.34,1798.62,1914.98,2192.19,2078.62,1491.48,1382.33,1538.66,1488.02,1527.96,1326.93
ABW,Aruba,,,,,,,,,,,1.73,1.73,2.40,3.63,1.34,1.62,1.84,1.62,0.61,1.08,1.34,1.33,0.27,1.46,0.82,1.04,5.20,6.76,9.05,4.97,5.31,4.86,6.34,7.47,8.08,52.70,56.14,36.92,34.28,34.99
AZE,Azerbaijan,,,,,,,,,,,,,,,3.00,,,6.29,54.49,57.13,104.13,163.32,155.96,203.58,623.24,790.21,1267.74,1518.33,1254.65,1410.30,1893.08,1990.18,1733.20,1846.42,1269.96,643.15,1133.37,1225.79,1275.17,1403.09
BGD,Bangladesh,381.00,527.00,642.00,501.00,503.00,576.00,748.00,764.00,758.00,778.87,769.37,911.76,1007.38,1150.88,1201.66,1344.66,1526.50,1605.79,1806.79,1967.53,2104.55,2858.06,3191.66,3583.82,4314.50,5427.52,6562.32,8940.61,10520.65,10850.21,12071.07,14119.63,13866.95,14987.53,15295.54,13574.29,13501.93,15566.24,18363.86,21749.70
